('0803dc38237b57269692e7e8a92437688e8bb23603b8c8ad6ece9fb868e7fe2b', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 9035, 6: 0, 7: 4, 8: 0.0, 9: 0, 10: 0}
('6d70003d6f25e29188209d82ef5b48646319a23d7a5c09646d3ea4a1924b8b98', 10) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 67975, 6: 0, 7: 6, 8: 0.0, 9: 0, 10: 0}
('0a009ab40b138150004cc116f3e1b633740ab81ddc78571eec4e64fe1b97f490', 0) {1: 0.03571428571428571, 2: 1.0, 3: 14.0, 4: 0.18557687223952268, 5: 16694, 6: 0, 7: 2, 8: 0.0, 9: 1.0, 10: 0}
('f620794c8896ed0e8fe36a8cf5284134a016830d4d14398781cc772fe88d926a', 0) {1: 1.0, 2: 1.0, 3: 0, 4: 0, 5: 84585, 6: 0, 7: 0, 8: -1, 9: 1.0, 10: 0}
('9ba586400bca86f10b7be707a918a2dec9b418564dc5ff1c916e728647ecf4a2', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 270, 6: 1.0, 7: 1, 8: 0.0, 9: 0, 10: 0}
('9c42cb6aa65496b5373a54461e7bad1bffab6214e114b9258647bd1ea01a8f53', 2) {1: 191.0, 2: 1.0, 3: 0, 4: 273.30081107331779, 5: 10024, 6: 0, 7: 1, 8: 0.5, 9: 1719.0, 10: 0.3}
('ebb0426d69bd2e639b2c97d2a1c3c405a35da36c623c354842d146cce2ea7493', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 14527, 6: 0, 7: 4, 8: 0.0, 9: 0, 10: 0}
('d695fcfb8e816995c83e626c871498428e0696782f7df9619f700466ae99382e', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 86485, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('a85e7e4b0c2a922f309f3c3875f72ad066a1c75d10e164831eae44fff4ffecb5', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 11998, 6: 0, 7: 2, 8: 0.0, 9: 0, 10: 0}
('ca55c9e0793a4fbe0c5b9659fb42d3094f5003fd983535d82a9ee87e48c0fe84', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 5910, 6: 0, 7: 4, 8: 0.0, 9: 0, 10: 0}
('8c660c4284c53d6347ea49c3111ee3ad96501548100b01950af8911851f8c66b', 1) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('0b47f7f8d7b19ce3f912ad8adebe166040f347b1c1ca43babe81fa8b6b109453', 0) {1: 25.0, 2: 1.0, 3: 0, 4: 0, 5: 6001, 6: 0, 7: 2, 8: 0.0, 9: 25.0, 10: 0}
('b5a354dcf8ebe71882b066e32831f280f0a8dddf619ef83a77a25832c2812d10', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0.0, 9: 0, 10: 0}
('f8e6f1d9345af8caed74e7d3fe9415c2a1268af6a462c9bfbdaa3acf525ee584', 0) {1: 2.6666666666666665, 2: 1.0, 3: 0, 4: 1.699673171197595, 5: 159, 6: 0, 7: 0, 8: -1, 9: 8.0, 10: 0}
('59055a3e5bce1ac910e3f271d5b2d1a5908c0bb6043c7a2fb717d88265446754', 0) {1: 125.4, 2: 1.0, 3: 0, 4: 156.06870282026438, 5: 0, 6: 0, 7: 1, 8: 0.0, 9: 627.0, 10: 0.8333333333333334}
('dce67174c02bcc4b4703c07ec95f1418cc6717344ba65f711574480b7aa105aa', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 71968, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('bd8369b93c3f1cc811a00e310ead03e75cd147a16fc2ef3069344a77975db2ee', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('1c22d113cc66cbcbf4e4ae3974228ec0d502ab4c05545d274f9bac404437ec01', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 123723, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('bb46dab6d036d97fda49365111a5973a92220ef396bc69c94b089bc80797df5c', 0) {1: 1.0, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: -1, 9: 1.0, 10: 0}
('c14fcb4356411c3771d9a5e97818a93247f48ff605c0e1dbbdc9c46ddb83ecc7', 1) {1: 67.57142857142857, 2: 1.0, 3: 0, 4: 57.604209029889333, 5: 52, 6: 1.0, 7: 1, 8: 0.0, 9: 473.0, 10: 0.875}
('59697ec77cc82cd748f8bc530fe6f54792ebc080d116db1205aeb915e35e04e8', 0) {1: 53.5, 2: 1.0, 3: 0, 4: 53.354943538532588, 5: 0, 6: 0, 7: 1, 8: 0.0, 9: 642.0, 10: 0.9230769230769231}
('4c9b679bd2585dee98e130f6e15a38fbde84ae081e67aab1e972f91bcc5e5c58', 0) {1: 67.33333333333333, 2: 1.0, 3: 0, 4: 69.090922381710584, 5: 8892, 6: 0, 7: 0, 8: -1, 9: 202.0, 10: 0}
('afb1548e3dc02bb60ce82cd4f51f4723e5f06b0775d14cb7669ff73f93f474eb', 1) {1: 3.25, 2: 1.0, 3: 0, 4: 3.3197640478403483, 5: 52, 6: 1.0, 7: 1, 8: 0.0, 9: 39.0, 10: 0.9230769230769231}
('5cf4dfc422273d692a1f4d39e1d9df238f9317169f13a90b809de2a3e9e2abb1', 0) {1: 5.761904761904762, 2: 0.9133858267716536, 3: 0, 4: 5.9220177967125807, 5: 0, 6: 0, 7: 1, 8: 0.0, 9: 726.0, 10: 0.9921259842519685}
('cd49a97e74998ead1bcf2369426cce255e8d2da782d6cd263e25c34f14ed969f', 9) {1: 374.5, 2: 1.0, 3: 0, 4: 602.14844515285426, 5: 2065, 6: 0, 7: 1, 8: 0.4898979485566356, 9: 1498.0, 10: 0}
('71290b05750f1d8b1c048d2521e0b7ccca754611ecdf8d2df338728890ec23de', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 334972, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('4b66c1964e298a40120b5644b4c7c267f119325c41bd79cc110bf41aff06dd65', 0) {1: 0.11764705882352941, 2: 1.0, 3: 8.0, 4: 0.40327380002359081, 5: 16560, 6: 0, 7: 2, 8: 0.0, 9: 4.0, 10: 0.5}
('20d2e622876d4a68143b2ed4cfb172311db0c3fb5c707e40eaf5fce8d119420e', 0) {1: 8.227272727272727, 2: 1.0, 3: 0, 4: 32.770457619050482, 5: 2, 6: 0.043478260869565216, 7: 1, 8: 0.0, 9: 181.0, 10: 0.9565217391304348}
('01ba90935ff92e0ad51500638fc6ab666e18799f0beff88d542e37a7cd74ead6', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 6274, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('83793e80e6dc072c2c15e9599414a7929ac3b8dbefe8acc494c0a6abac92337d', 2) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 15488, 6: 0, 7: 2, 8: 0.0, 9: 0, 10: 0.5}
('36cd96b5905334294dd2a0e84a0975d9cac252d10d2f6aee6becf1dc77722c62', 4) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 4547, 6: 0, 7: 1, 8: 0.0, 9: 0, 10: 0}
('f5f20f017fc4ea59c61b8e8c10a16b352a995e0efd4e84beb9fc49dc314d2111', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 5817, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('2b0f2e0f90a893b5fa93d655aff7f574643d49de0af3eba631818967de2bae16', 0) {1: 0.17073170731707318, 2: 0.5238095238095238, 3: 1.1, 4: 0.43630594682922719, 5: 27282, 6: 0, 7: 1, 8: 0.5, 9: 7.0, 10: 0.3}
('990b2d683379a05a61a2658b9c5f7a55d1d08ace79bd871103a1fb50d4cc2f62', 1) {1: 5.0, 2: 1.0, 3: 0, 4: 1.6329931618554521, 5: 20202, 6: 0, 7: 1, 8: 1.299038105676658, 9: 15.0, 10: 0.25}
('9f0649192015c8a71c51d236dbd93bdb93324ccfc5642ab5ecd14e3ff9ce2f9e', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 20, 6: 0, 7: 1, 8: 0.0, 9: 0, 10: 0}
('7d7882651310215ec96459a7b5bee762ff1250cc828ce3dd1439950c09ded78d', 0) {1: 1800, 2: 1.0, 3: 1.0, 4: 0, 5: 12195, 6: 0, 7: 4, 8: 0.0, 9: 0, 10: 0}
('3148b2bb090dd34e7ec4deeefe4f56493c7186d3a5f9e00ed4480b3462985883', 0) {1: 89.14285714285714, 2: 1.0, 3: 0, 4: 86.820716045733448, 5: 0, 6: 0, 7: 1, 8: 0.0, 9: 624.0, 10: 0.875}
('fb7a0195b0feb2e8dc062a967a41e0ab617d20d6f5ea63b74033babe11cd40aa', 1) {1: 850.0, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: -1, 9: 850.0, 10: 0}
('cb9391914d37230ad9d172122a858e2b3ce72b006d68db1d3f51237cea243e82', 0) {1: 0.07692307692307693, 2: 1.0, 3: 12.0, 4: 0.26646935501059654, 5: 29405, 6: 0, 7: 2, 8: 0.0, 9: 2.0, 10: 0}
('be73034a3219af18f84a7ae6c0f9f1877a92c9484571b49659df64a99112731b', 0) {1: 0.6666666666666666, 2: 1.0, 3: 0, 4: 0.94280904158206336, 5: 77628, 6: 0, 7: 0, 8: -1, 9: 2.0, 10: 0}
('5b2c4c62eee2a3795dbdd98228e8192d91c54610b3f9a7834c73c36e4dad4b83', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 10937, 6: 0, 7: 2, 8: 0.0, 9: 0, 10: 0}
('e420d04cd170fb7c1d259302196eae54488de775cb5ef606033e181b8aac553a', 0) {1: 171.0, 2: 1.0, 3: 0, 4: 90.114741672307233, 5: 0, 6: 0, 7: 1, 8: 0.0, 9: 513.0, 10: 0.75}
('96b17f0b0a007a9a6f30e3c8e082914bd68380376e6bfdcb8f32576fdb23e7de', 0) {1: 57.0, 2: 0.5, 3: 0, 4: 84.677164703491471, 5: 68335, 6: 0.1, 7: 2, 8: 1.0301575072754257, 9: 513.0, 10: 0}
('cd1bd3603973d4e5fc19d44d9575a16c94ffc3fe589b73f00399ff942f1b2aa4', 1) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 9592, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('00c31715e2441c112322f628513aaadb8e5cbd9caed84e5f7533daedaa26caa1', 0) {1: 1.5795454545454546, 2: 1.0, 3: 0, 4: 2.6229823020799774, 5: 0, 6: 0.011235955056179775, 7: 1, 8: 0.0, 9: 139.0, 10: 0.9887640449438202}
('da8b97851234cb5980f7a27b0dd5ef7dc7f25dffd573c01c1c0055d4a36b3c62', 6) {1: 181.91666666666666, 2: 1.0, 3: 0, 4: 234.44916234062819, 5: 38362, 6: 0, 7: 3, 8: 1.9551176964828978, 9: 2183.0, 10: 0.15384615384615385}
('47b31067e724a18b347e2908bd00f6fb95b9006b289780fa82e1093a7f29f3bd', 0) {1: 0.8888888888888888, 2: 1.0, 3: 0, 4: 2.5141574442188359, 5: 3871, 6: 0, 7: 0, 8: -1, 9: 8.0, 10: 0}
('a2951f607c218ba3691c16ae55544155ae811fc49d5bb98355637e3bc5019ec0', 0) {1: 7.217391304347826, 2: 1.0, 3: 8.0, 4: 33.003236365332597, 5: 14382, 6: 0, 7: 2, 8: 0.0, 9: 166.0, 10: 0}
('dc462e73089f03704fc3c066023afbb9e032a617045951f3913ed9f4bd8b51a1', 0) {1: 10.2, 2: 1.0, 3: 3.5, 4: 27.282961716060079, 5: 6621, 6: 0, 7: 3, 8: 1.0, 9: 102.0, 10: 0}
('27988b3482e8809290dad949cca25e6b1e2f69252107fa5adead0ddef6bf00be', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('571b401ab2bc7abb4007937f2ee5d5e0b656943cbeddbf0ee5ac41be2b3a9e1c', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 1.0, 7: 5, 8: 0.0, 9: 0, 10: 0}
('c6a412de3370c88fbb4f788f2a0a156295579e36525051e54bd2d996b74d97d0', 0) {1: 22.82758620689655, 2: 1.0, 3: 0, 4: 15.136320706117136, 5: 0, 6: 0, 7: 1, 8: 0.0, 9: 662.0, 10: 0.9666666666666667}
('280fc5dcf01ad38f88e3340694c57a5c40cf3a2d0a2c22b097d70d4615e94a14', 1) {1: 617.0, 2: 1.0, 3: 0, 4: 0, 5: 50180, 6: 0, 7: 8, 8: 1.0, 9: 617.0, 10: 0}
('a184a6c40762ac244da6258e2e9c1a09f16cb150ade49cec30fbd721bcc2e255', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('8b8c6bafd714b7f660428e8b3ad812ec7ff387dcbbd7ba26f07720de9470f50a', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 9649, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('d4858062a8569f429eb1449842ad1d1faad2fbacd459230427a3cc8e92e323c9', 0) {1: 1.0, 2: 1.0, 3: 1.0, 4: 0, 5: 9863, 6: 0, 7: 2, 8: 0.0, 9: 1.0, 10: 0}
('f6ff88b4a2a2fc1ba1783237f76061892b95b737330c2a4b9362119d263fcf66', 6) {1: 263.0, 2: 1.0, 3: 0, 4: 0, 5: 10335, 6: 0, 7: 2, 8: 0.0, 9: 263.0, 10: 0.5}
('412677e0a0c2f407d81f6d117b935200d490e07e758a47dbff7668b395bee5f1', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 310, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('3867d6acd39b19d1f2f60daf556078607ee3457f2c31e65cf5a0110f085363cc', 0) {1: 788.0, 2: 0.6666666666666666, 3: 0, 4: 788.0, 5: 158512, 6: 0, 7: 0, 8: -1, 9: 1576.0, 10: 0}
('86be5984bb714773996421e2f13908a8433bcee46357c43386208e1bbae2b15e', 0) {1: 1.4, 2: 1.0, 3: 4.0, 4: 1.8547236990991407, 5: 6703, 6: 0, 7: 4, 8: 0.0, 9: 7.0, 10: 0}
('3533845c2684f33a0cbff4d8a86b8886c2c303f44e568bbd21e5b2a850ee2b3b', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('8db888ce37c1e4c0064681f263b2f2e9c51e235a655a1b50dbea2f9e23cc17a1', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 64312, 6: 0, 7: 0, 8: -1, 9: 0, 10: 0}
('c3dac3efd99e8d42efa6d6607dc5ab91e849e13768baa8e13bc45da0b0c23b97', 1) {1: 32.0, 2: 1.0, 3: 0, 4: 0, 5: 52, 6: 1.0, 7: 1, 8: 0.0, 9: 32.0, 10: 0.5}
('5fd1a61c73918d7afc17cb920dbe43265127846c1813463ceb7d64e85d4add90', 0) {1: 7.0, 2: 1.0, 3: 0, 4: 15.209646062066446, 5: 3333, 6: 0, 7: 0, 8: -1, 9: 42.0, 10: 0}
('d0b088fea93753771ab1db4a6a57061dc7e0f22e0730910286f5461a2922fad2', 0) {1: 1800, 2: 1.0, 3: 0, 4: 0, 5: 249, 6: 0, 7: 1, 8: 0.0, 9: 0, 10: 0}
